id,paragraphs
101,he maesters of the citadel who keep the histories of westeros have used aegon’s conquest as their touchstone for the past three hundred years. births  deaths  battles  and other events are dated
102,either ac  after the conquest  or bc  before the conquest .
103,true scholars know that such dating is far from precise. aegon targaryen’s conquest of the seven kingdoms did not take place in a single day. more than two years passed between aegon’s landing and his oldtown coronation…and even then the conquest remained incomplete  since dorne remained unsubdued. sporadic attempts to bring the dornishmen into the realm continued all through king aegon’s reign and well into the reigns of his sons  making it impossible to fix a precise end date for the wars of conquest.
104,even the start date is a matter of some misconception. many assume  wrongly  that the reign of king aegon i targaryen began on the day he landed at the mouth of the blackwater rush  beneath the three hills where the city of king’s landing would eventually stand. not so. the day of aegon’s landing was celebrated by the king and his descendants  but the conqueror actually dated the start of his reign from the day he was crowned and anointed in the starry sept of oldtown by the high septon of the faith. this coronation took place two years after aegon’s landing  well after all three of the major
106,battles of the wars of conquest had been fought and won. thus it can be seen that most of aegon’s actual conquering took place from 2–1 bc  before the conquest.
107,the targaryens were of pure valyrian blood  dragonlords of ancient lineage. twelve years before the doom of valyria  114 bc   aenar targaryen sold his holdings in the freehold and the lands of the long summer  and moved with all his wives  wealth  slaves  dragons  siblings  kin  and children to dragonstone  a bleak island citadel beneath a smoking mountain in the narrow sea.
108,at its apex valyria was the greatest city in the known world  the center of civilization. within its shining walls  twoscore rival houses vied for power and glory in court and council  rising and falling in an endless  subtle  oft savage struggle for dominance. the targaryens were far from the most powerful of the dragonlords  and their rivals saw their flight to dragonstone as an act of surrender  as cowardice. but lord aenar’s maiden daughter daenys  known forever afterward as daenys the dreamer  had foreseen the destruction of valyria by fire. and when the doom came twelve years later  the targaryens were the only dragonlords to survive.
109,dragonstone had been the westernmost outpost of valyrian power for two centuries. its location athwart the gullet gave its lords a stranglehold on blackwater bay and enabled both the targaryens and their close allies  the velaryons of driftmark  a lesser house of valyrian descent  to fill their coffers off the passing trade. velaryon ships  along with those of another allied valyrian house  the celtigars of claw isle  dominated the middle reaches of the narrow sea  whilst the targaryens ruled the skies with their dragons.
110,yet even so  for the best part of a hundred years after the doom of valyria  the rightly named century of blood   house targaryen looked east  not west  and took little interest in the affairs of westeros. gaemon targaryen  brother and husband to daenys the dreamer  followed aenar the exile as lord of dragonstone  and became known as gaemon the glorious. gaemon’s son aegon and his daughter elaena ruled together after his death. after them the lordship passed to their son maegon  his brother aerys  and aerys’s sons  aelyx  baelon  and daemion. the last of the three brothers was daemion  whose son aerion then succeeded to dragonstone.
111,the aegon who would be known to history as aegon the conqueror
113,and aegon the dragon was born on dragonstone in 27 bc. he was the only son  and second child  of aerion  lord of dragonstone  and lady valaena of house velaryon  herself half targaryen on her mother’s side. aegon had two trueborn siblings  an elder sister  visenya  and a younger sister  rhaenys. it had long been the custom amongst the dragonlords of valyria to wed brother to sister  to keep the bloodlines pure  but aegon took both his sisters to bride. by tradition  he would have been expected to wed only his older sister  visenya  the inclusion of rhaenys as a second wife was unusual  though not without precedent. it was said by some that aegon wed visenya out of duty and rhaenys out of desire.
114,all three siblings had shown themselves to be dragonlords before they wed. of the five dragons who had flown with aenar the exile from valyria  only one survived to aegon’s day  the great beast called balerion  the black dread. the dragons vhagar and meraxes were younger  hatched on dragonstone itself.
115,a common myth  oft heard amongst the ignorant  claims that aegon targaryen had never set foot upon the soil of westeros until the day he set sail to conquer it  but this cannot be truth. years before that sailing  the painted table had been carved and decorated at lord aegon’s command  a massive slab of wood  some fifty feet long  carved in the shape of westeros  and painted to show all the woods and rivers and towns and castles of the seven kingdoms. plainly  aegon’s interest in westeros long predated the events that drove him to war. as well  there are reliable reports of aegon and his sister visenya visiting the citadel of oldtown in their youth  and hawking on the arbor as guests of lord redwyne. he may have visited lannisport as well  accounts differ.
116,the westeros of aegon’s youth was divided into seven quarrelsome kingdoms  and there was hardly a time when two or three of these kingdoms were not at war with one another. the vast  cold  stony north was ruled by the starks of winterfell. in the deserts of dorne  the martell princes held sway. the gold rich westerlands were ruled by the lannisters of casterly rock  the fertile reach by the gardeners of highgarden. the vale  the fingers  and the mountains of the moon belonged to house arryn…but the most belligerent kings of aegon’s time were the two whose realms lay closest to dragonstone  harren the black and argilac the arrogant.
