start_hours,start_minutes,start_seconds,end_hours,end_minutes,end_seconds,text
0,0,0,0,0,4,WWW.MY-SUBS.CO
0,0,7,0,0,9,(epic theme playing)
0,0,9,0,0,11,♪ ♪
0,1,3,0,1,4,♪ ♪
0,1,30,0,1,40,"<font color=""#ec14bd"">Sync & corrections by honeybunny
www.MY-SUBS.com</font>"
0,1,46,0,1,48,(birds chirping)
0,1,53,0,1,55,(cawing)
0,1,56,0,1,58,{an8}(horse neighs)
0,1,58,0,2,1,"- Good morrow, Lady Rhea.
- Cousin."
0,2,1,0,2,3,"What's today's quarry?
Rabbit?"
0,2,4,0,2,7,"- Deer.
- Oh. Fine challenge."
0,2,7,0,2,8,Care for some company?
0,2,8,0,2,10,I'd rather ride alone.
0,2,11,0,2,13,Good fortune to you.
0,2,22,0,2,23,(bird squawking)
0,2,51,0,2,54,(tense music playing)
0,2,54,0,2,57,(horse snorts)
0,3,0,0,3,2,Husband.
0,3,6,0,3,9,What brings you to the Vale?
0,3,13,0,3,17,"Or have you at last come to consummate
our marriage?"
0,3,18,0,3,21,"The Vale's sheep might be willing,"
0,3,21,0,3,23,even if I'm not.
0,3,23,0,3,26,"Our sheep are prettier, after all."
0,3,28,0,3,32,"Or perhaps your brother has at
last had his fill of your company."
0,3,32,0,3,35,"Cast you aside
in favor of a little girl."
0,3,39,0,3,41,(horse snorting)
0,3,42,0,3,43,What will you do now?
0,3,44,0,3,47,Will you strike the child down?
0,3,47,0,3,49,Or?
0,3,51,0,3,53,♪ ♪
0,4,0,0,4,2,"- (horse whinnies)
- (Rhea grunts)"
0,4,11,0,4,15,♪ ♪
0,4,15,0,4,18,"(Rhea winces, whimpers)"
0,4,38,0,4,40,I knew you couldn't finish.
0,4,42,0,4,43,Craven!
0,4,46,0,4,48,♪ ♪
0,4,48,0,4,50,(Rhea gasps)
0,4,51,0,4,54,(indistinct shouting)
0,4,56,0,4,58,(waves crashing)
0,5,7,0,5,9,(gagging)
0,5,12,0,5,13,{an8}(retching)
0,5,18,0,5,20,(King Viserys groans)
0,5,22,0,5,24,Thank you.
0,5,30,0,5,33,♪ ♪
0,5,47,0,5,49,(rain falling)
0,5,49,0,5,51,(thunder rumbling)
0,6,5,0,6,7,A moment.
0,6,15,0,6,17,I do not wish to see you go.
0,6,19,0,6,21,Such is the King's decision.
0,6,21,0,6,24,A decision I most bitterly regret.
0,6,26,0,6,27,"And yet, you made it possible."
