id,paragraphs
101,maesters citadel keep history westeros used aegon ’ conquest touchstone past three hundred year birth death battle event dated
102,either ac conquest bc conquest
103,true scholar know dating far precise aegon targaryen ’ conquest seven kingdom take place single day two year passed aegon ’ landing oldtown coronation…and even conquest remained incomplete since dorne remained unsubdued sporadic attempt bring dornishmen realm continued king aegon ’ reign well reign son making impossible fix precise end date war conquest
104,even start date matter misconception many assume wrongly reign king aegon targaryen began day landed mouth blackwater rush beneath three hill city king ’ landing would eventually stand day aegon ’ landing celebrated king descendant conqueror actually dated start reign day crowned anointed starry sept oldtown high septon faith coronation took place two year aegon ’ landing well three major
106,battle war conquest fought thus seen aegon ’ actual conquering took place 2–1 bc conquest
107,targaryens pure valyrian blood dragonlords ancient lineage twelve year doom valyria 114 bc aenar targaryen sold holding freehold land long summer moved wife wealth slave dragon sibling kin child dragonstone bleak island citadel beneath smoking mountain narrow sea
108,apex valyria greatest city known world center civilization within shining wall twoscore rival house vied power glory court council rising falling endless subtle oft savage struggle dominance targaryens far powerful dragonlords rival saw flight dragonstone act surrender cowardice lord aenar ’ maiden daughter daenys known forever afterward daenys dreamer foreseen destruction valyria fire doom came twelve year later targaryens dragonlords survive
109,dragonstone westernmost outpost valyrian power two century location athwart gullet gave lord stranglehold blackwater bay enabled targaryens close ally velaryons driftmark lesser house valyrian descent fill coffer passing trade velaryon ship along another allied valyrian house celtigars claw isle dominated middle reach narrow sea whilst targaryens ruled sky dragon
110,yet even best part hundred year doom valyria rightly named century blood house targaryen looked east west took little interest affair westeros gaemon targaryen brother husband daenys dreamer followed aenar exile lord dragonstone became known gaemon glorious gaemon ’ son aegon daughter elaena ruled together death lordship passed son maegon brother aery aery ’ son aelyx baelon daemion last three brother daemion whose son aerion succeeded dragonstone
111,aegon would known history aegon conqueror
113,aegon dragon born dragonstone 27 bc son second child aerion lord dragonstone lady valaena house velaryon half targaryen mother ’ side aegon two trueborn sibling elder sister visenya younger sister rhaenys long custom amongst dragonlords valyria wed brother sister keep bloodline pure aegon took sister bride tradition would expected wed older sister visenya inclusion rhaenys second wife unusual though without precedent said aegon wed visenya duty rhaenys desire
114,three sibling shown dragonlords wed five dragon flown aenar exile valyria one survived aegon ’ day great beast called balerion black dread dragon vhagar meraxes younger hatched dragonstone
115,common myth oft heard amongst ignorant claim aegon targaryen never set foot upon soil westeros day set sail conquer truth year sailing painted table carved decorated lord aegon ’ command massive slab wood fifty foot long carved shape westeros painted show wood river town castle seven kingdom plainly aegon ’ interest westeros long predated event drove war well reliable report aegon sister visenya visiting citadel oldtown youth hawking arbor guest lord redwyne may visited lannisport well account differ
116,westeros aegon ’ youth divided seven quarrelsome kingdom hardly time two three kingdom war one another vast cold stony north ruled starks winterfell desert dorne martell prince held sway gold rich westerlands ruled lannisters casterly rock fertile reach gardener highgarden vale finger mountain moon belonged house arryn…but belligerent king aegon ’ time two whose realm lay closest dragonstone harren black argilac arrogant
118,great citadel storm ’ end storm king house durrandon ruled eastern half westeros cape wrath bay crab power dwindling century king reach nibbled domain west dornishmen harassed south harren black ironman pushed trident land north blackwater rush king argilac last durrandon arrested decline time turning back dornish invasion whilst still boy crossing narrow sea join great alliance imperialist “ tiger ” volantis slaying garse vii gardener king reach battle summerfield twenty year later argilac grown older famous mane black hair gone grey prowess arm faded
119,north blackwater riverlands ruled bloody hand harren black house hoare king isle river harren ’ ironborn grandsire harwyn hardhand taken trident argilac ’ grandsire arrec whose forebear thrown last river king century earlier harren ’ father extended domain east duskendale rosby harren devoted long reign close forty year building gigantic castle beside god eye harrenhal last nearing completion ironborn would soon free seek fresh conquest
120,king westeros feared black harren whose cruelty become legendary seven kingdom king westeros felt threatened argilac storm king last durrandon aging warrior whose heir maiden daughter thus king argilac reached targaryens dragonstone offering lord aegon daughter marriage land east god eye trident blackwater rush dowry
121,aegon targaryen spurned storm king ’ proposal two wife pointed need third dower land offered belonged harrenhal generation argilac ’ give plainly aging storm king meant establish targaryens along blackwater buffer land harren black
122,lord dragonstone countered offer
124,would take dower land offered argilac would also cede massey ’ hook wood plain blackwater south river wendwater headwater mander pact would sealed marriage argilac ’ daughter orys baratheon lord aegon ’ childhood friend champion
125,term argilac arrogant rejected angrily orys baratheon baseborn half brother lord aegon whispered storm king would dishonor daughter giving hand bastard suggestion enraged argilac hand aegon ’ envoy cut returned box “ hand bastard shall ” wrote
126,aegon made reply instead summoned friend bannermen principal ally attend dragonstone number small velaryons driftmark sworn house targaryen celtigars claw isle massey ’ hook came lord bar emmon sharp point lord massey stonedance sworn storm ’ end closer tie dragonstone lord aegon sister took counsel visited castle sept pray seven westeros well though never accounted pious man
127,seventh day cloud raven burst tower dragonstone bring lord aegon ’ word seven kingdom westeros seven king flew citadel oldtown lord great small carried message day forth would one king westeros bent knee aegon house targaryen would keep land title took arm would thrown humbled destroyed
128,account differ many sword set sail dragonstone aegon sister say three thousand others number hundred modest targaryen host put ashore mouth blackwater rush northern bank three wooded hill rose small fishing village
129,day hundred kingdom many petty king claimed dominion river mouth amongst darklyn king duskendale masseys stonedance river king old mudds fisher bracken blackwood hook tower fort crowned three hill various time thrown
131,one war another broken stone overgrown ruin remained welcome targaryens though claimed storm ’ end harrenhal river mouth undefended closest castle held lesser lord great power military prowess lord moreover little reason love nominal overlord harren black
132,aegon targaryen quickly threw log earth palisade around highest three hill dispatched sister secure submission nearest castle rosby yielded rhaenys golden eyed meraxes without fight stokeworth crossbowmen loosed bolt visenya vhagar ’ flame set roof castle keep ablaze submitted
133,conqueror ’ first true test came lord darklyn duskendale lord mooton maidenpool joined power marched south three thousand men drive invader back sea aegon sent orys baratheon attack march whilst descended black dread lord slain one sided battle followed darklyn ’ son mooton ’ brother thereafter yielded castle swore sword house targaryen time duskendale principal westerosi port narrow sea grown fat wealthy trade passed harbor visenya targaryen allow town sacked hesitate claim rich greatly swelling coffer conqueror
134,perhaps would apt place discus differing character aegon targaryen sister queen
135,visenya eldest three sibling much warrior aegon comfortable ringmail silk carried valyrian longsword dark sister skilled use trained beside brother since childhood though possessed silver gold hair purple eye valyria harsh austere beauty even loved best found visenya stern serious unforgiving said played poison dabbled dark sorcery
136,rhaenys youngest three targaryens sister playful curious impulsive given flight fancy true warrior rhaenys loved music dancing poetry supported many singer mummer puppeteer yet said rhaenys
138,spent time dragonback brother sister combined thing loved fly heard say died meant fly meraxes across sunset sea see lay upon western shore whilst one ever questioned visenya ’ fidelity brother husband rhaenys surrounded comely young men whispered even entertained bedchamber night aegon elder sister yet despite rumor observer court could fail note king spent ten night rhaenys every night visenya
139,aegon targaryen strangely much enigma contemporary u armed valyrian steel blade blackfyre counted amongst greatest warrior age yet took pleasure feat arm never rode tourney melee mount balerion black dread flew battle travel swiftly across land sea commanding presence drew men banner yet close friend save orys baratheon companion youth woman drawn aegon remained ever faithful sister king put great trust small council sister leaving much day day governance realm them…yet hesitate take command found necessary though dealt harshly rebel traitor open handed former foe bent knee
140,showed first time aegonfort crude wood earth castle raised atop would henceforth forever known aegon ’ high hill taken dozen castle secured mouth blackwater rush side river commanded lord defeated attend laid sword foot aegon raised confirmed land title oldest supporter gave new honor daemon velaryon lord tide made master ship command royal fleet triston massey lord stonedance named master law crispian celtigar master coin orys baratheon proclaimed “ shield stalwart strong right hand ” thus baratheon reckoned maesters first king ’ hand
141,heraldic banner long tradition amongst lord westeros never used dragonlords old
143,valyria aegon ’ knight unfurled great silken battle standard red three headed dragon breathing fire upon black field lord took sign truly one worthy high king westeros queen visenya placed valyrian steel circlet studded ruby brother ’ head queen rhaenys hailed “ aegon first name king westeros shield people ” dragon roared lord knight sent cheer…but smallfolk fisherman fieldhand goodwives shouted loudest
144,seven king aegon dragon meant uncrown cheering however harrenhal storm ’ end harren black argilac arrogant already called banner west king mern reach rode ocean road north casterly rock meet king loren house lannister princess dorne dispatched raven dragonstone offering join aegon argilac storm king…but equal ally subject another offer alliance came boy king eyrie ronnel arryn whose mother asked land east green fork trident vale ’ support black harren even north king torrhen stark winterfell sat lord bannermen counselor late night discussing done would conqueror whole realm waited anxiously see aegon would move next
148,within day coronation aegon ’ army march greater part host crossed blackwater rush making south storm ’ end command orys baratheon queen rhaenys accompanied astride meraxes golden eye silver scale targaryen fleet daemon velaryon left blackwater bay turned north gulltown vale
150,went queen visenya vhagar king marched northwest god eye harrenhal gargantuan fortress pride obsession king harren black
151,three targaryen thrust faced fierce opposition lord errol fell buckler bannermen storm ’ end surprised advance element orys baratheon ’ host crossing wendwater cutting thousand men fading back tree hastily assembled arryn fleet augmented dozen braavosi warship met defeated targaryen fleet water gulltown amongst dead aegon ’ admiral daemon velaryon aegon attacked south shore god eye twice battle reed targaryen victory suffered heavy loss wailing willow two king harren ’ son crossed lake longboat muffled oar fell upon rear
152,end though aegon ’ enemy answer dragon men vale sank third targaryen ship captured near many queen visenya descended upon sky ship burned lord errol fell buckler hid familiar forest queen rhaenys unleashed meraxes wall fire swept wood turning tree torch victor wailing willow returning across lake harrenhal ill prepared balerion fell upon morning sky harren ’ longboat burned harren ’ son
153,aegon ’ foe also found plagued enemy argilac arrogant gathered sword storm ’ end pirate stepstones descended shore cape wrath take advantage absence dornish raiding party came boiling red mountain sweep across march vale young king ronnel contend rebellion three sister sistermen renounced allegiance eyrie proclaimed lady marla sunderland queen
154,yet minor vexation compared befell harren black though house hoare ruled riverlands three generation men trident love ironborn overlord harren black driven thousand death building great castle harrenhal plundering riverlands material beggaring lord smallfolk alike appetite
156,gold riverlands rose led lord edmyn tully riverrun summoned defense harrenhal tully declared house targaryen instead raised dragon banner castle rode forth knight archer join strength aegon ’ defiance gave heart riverlords one one lord trident renounced harren declared aegon dragon blackwood mallisters vances bracken piper frey strongs…summoning levy descended harrenhal
