id,paragraphs
0,heir dragon first episode first season house dragon first episode series overall premiered august 21 2022 hbo hbo max written ryan condal directed miguel sapochnik
1,premise
2,viserys host tournament celebrate birth second child rhaenyra welcome uncle daemon back red keep
3,synopsis
4,prologue 11 year ago harrenhal
5,year 101 ac lord westeros gather great council elect prince dragonstone succeed jaehaerys targaryen following death king son although fourteen claim brought forward two truly considered princess rhaenys targaryen jaehaerys eldest grandchild prince viserys targaryen eldest grandson great council elect prince viserys succeed grandfather
6,king landing
7,year 112 ac nine year viserys reign high king landing daughter princess rhaenyra targaryen fly across city atop dragon syrax landing outside gate dragonpit dragonkeepers escort syrax away rhaenyra greeted sworn shield ser harrold westerling kingsguard friend lady alicent hightower two girl exchange comment syrax growth rhaenyra invite alicent take ride syrax though alicent politely decline ser harrold several men arm escort rhaenyra alicent covered wagon back red keep rhaenyra pay visit alicent attendance heavily pregnant mother queen aemma arryn rhaenyra dismissive idea mother aemma insists royal woman birthing royal child serve realm
8,within red keep viserys host meeting small council rhaenyra attendance cupbearer though father lightly chides late meeting master ship lord corlys velaryon warns free city formed alliance named triarchy trying claim stepstones alliance eradicate pirate currently inhabiting stepstones corlys warns westerosi port could badly affected concern dismissed viserys hand king ser otto hightower master coin lord lyman beesbury also complains viserys ruinous amount gold younger brother prince daemon targaryen absent seat table spent new role commander city watch properly arm supply men viserys hear complaint brother discussion turn upcoming heir tournament viserys planned upcoming birth next child despite grand maester mellos insistence way determining sex viserys confident child boy
9,small council concludes rhaenyra ser harrold head great hall find prince daemon sitting iron throne ser harrold shocked disrespect rhaenyra used uncle flippancy amused rhaenyra daemon converse high valyrian daemon amused word viserys throwing tournament benefit since viserys actually son daemon heir law gifting niece bejeweled necklace valyrian steel later evening rhaenyra alicent spend time red keep godswood rhaenyra concludes hope unborn sibling boy sake father happiness ignoring alicent remark son would overshadow line succession elsewhere red keep viserys endures grand maester mellos treating wound supposedly inflicted blade iron throne back become infected going see wife aemma taking bath viserys tell confidence child son aemma insists boy girl last several miscarriage stillbirth one child dead cradle total five within ten year bring mourn another child
