id,paragraphs
0,"Caraxes[N 1] is a dragon ridden by Prince Daemon Targaryen. A veteran of many battles, he is known as the Blood Wyrm for his red scales.
"
1,"Biography
"
2,"Background
"
3,"Caraxes is ridden by Daemon Targaryen.[1] He has red scales, yellow eyes, a beard of horns, and wing-like membranes on his legs to support the aerodynamics of his body, which is long and serpentine in physique.
"
4,"House of the Dragon: Season 1
"
5,"After Daemon is banished from King's Landing by Viserys, he leaves on Caraxes with Mysaria.[2]
"
6,"During a confrontation between Daemon and Otto Hightower at Dragonstone, Caraxes shrieks and crawls forward to reveal himself at the top of a cliff, prompting Otto to order his men to sheathe their weapons.[3]
"
7,"Caraxes is used by Daemon during the War for the Stepstones. Despite the distinct advantage a powerful dragon gives in battle, his effectiveness was suppressed by the caves along the coast of Bloodstone, where Craghas Drahar and his soldiers retreated to. During one such night raid, Caraxes and Daemon ambush the Triarchy forces but can only cause minimal casualties when the Crabfeeder and his men hide from the dragonfire. Subsequently, numerous flaming arrows are fired at them, confusing Caraxes and wounding Daemon, forcing them to retreat.[4]
"
8,"Caraxes and Daemon fly over Rhaenyra Targaryen's ship during their return to King's Landing.[5]
"
9,"Caraxes flies alongside Vhagar in the skies above Pentos, during the self-exile of Daemon and his second wife Laena Velaryon.[6]
"
10,"Caraxes stays at High Tide along with several other dragons during the funeral of Laena Velaryon.[7]
"
11,"At Dragonstone, Daemon summons Caraxes to intimidate Kingsguard knights Ser Steffon Darklyn and Ser Lorent Marbrand and to remind them of their oaths.[8]
"
12,"Behind the scenes
"
13,"The visual design of Caraxes is inspired by a loong (Chinese dragon).[9]
"
14,"In the books
"
15,"In Fire & Blood, Caraxes was one of the older and larger dragons during the Dance of the Dragons. His scales were colored red, leading to him being called ""the Blood Wyrm"".
"
16,"Caraxes's first rider was Aemon Targaryen, the Prince of Dragonstone and King Jaehaerys I's eldest son. One of the fiercest dragons among the younger generation, he was given his nickname by the Dragonkeepers, the order of guards created by King Jaehaerys to guard the newly-completed Dragonpit, and later saw his first conflict during the Fourth Dornish War, when King Jaehaerys (astride Vermithor), Prince Aemon (astride Caraxes) and Prince Baelon, Aemon's younger brother (astride Vhagar), descended upon the Dornish fleet and destroyed it without suffering a single loss. Caraxes would later accompany Aemon to Tarth when an invasion of Myrish pirates caused the route of the Evenstar. However, Caraxes's fires drew the attention of the Myrish onto the Westerosi camp and a crossbowmen took a shot at the Evenstar, but missed and hit Aemon instead. The Prince of Dragonstone died of the wound, leaving Caraxes riderless until Daemon Targaryen, the younger son of Aemon's brother Baelon, claimed him.
"
17,"Appearances
"
18,"- Histories & Lore – ""Dragons"" (illustrated)
"
19,"- Histories & Lore – ""The Dance of Dragons"" (illustrated)
"
20,"- – ""The Heirs of the Dragon""
"
21,"- – ""The Rogue Prince""
"
22,"- – ""Second of His Name""
"
23,"- – ""King of the Narrow Sea""
"
24,"- – ""The Princess and the Queen""
"
25,"- – ""Driftmark""
"
26,"- – ""The Black Queen""
"
27,"References
"
28,"- ↑ House of the Dragon | Official Website for the HBO Series | HBO.com
"
29,"- ↑ House of the Dragon: Season 1, Episode 1: ""The Heirs of the Dragon""
"
30,"- ↑ House of the Dragon: Season 1, Episode 2: ""The Rogue Prince""
"
31,"- ↑ House of the Dragon: Season 1, Episode 3: ""Second of His Name""
"
32,"- ↑ House of the Dragon: Season 1, Episode 4: ""King of the Narrow Sea""
"
33,"- ↑ House of the Dragon: Season 1, Episode 6: ""The Princess and the Queen""
"
34,"- ↑ House of the Dragon: Season 1, Episode 7: ""Driftmark""
"
35,"- ↑ House of the Dragon: Season 1, Episode 10: ""The Black Queen""
"
36,"- ↑ Game of Thrones: House of the Dragon: Inside the Creation of a Targaryen Dynasty
"
37,"Notes
"
38,"- ↑ High Valyrian: Karakses
"
39,"External links
"
40,"- Caraxes on A Wiki of Ice and Fire (MAJOR spoilers for House of the Dragon)- This article is about the dragon. For the goddess, see: Syrax (goddess)
"
41,"- ""Take care not to startle Syrax, my lords. She's rather protective of me.""
"
42,"- ―Rhaenyra Targaryen
"
43,"Syrax[N 1] is a dragon belonging to House Targaryen. She is the personal mount of Rhaenyra Targaryen.
"
44,"Biography
"
45,"Background
"
46,"Syrax is a yellow green-eyed dragon ridden by Rhaenyra Targaryen.[1] She is named after the Valyrian goddess Syrax.[2]
"
47,"House of the Dragon: Season 1
"
48,"Rhaenyra rides Syrax on a morning flight around King's Landing before their return to the entrance of the Dragonpit. As Rhaenyra departs for the Red Keep, the Dragonkeepers escort Syrax into the Dragonpit. Several days later, Rhaenyra commands Syrax to cremate the bodies of Queen Aemma Arryn and Prince Baelon Targaryen.[3]
"
49,"When Rhaenyra learns that her uncle Prince Daemon Targaryen stole the dragon egg that was meant for her brother Baelon, she rides Syrax to Dragonstone and successfully retrieves the egg without inflicting a single casualty before returning to King's Landing.[4]
"
50,"As a gesture of renewed friendship, Rhaenyra offers to give one of Syrax's eggs to Alicent's son Aemond.[5]
"
51,"Syrax stays at High Tide along with several other dragons during the funeral of Laena Velaryon.[6]
"
